Insert
length  time(ns)
0 2100
100000 1500
200000 900
300000 1200
400000 2100
500000 2700
600000 4700
700000 3800
800000 1300
900000 1000
1000000 1800
1100000 700
1200000 1100
1300000 3200
1400000 2300
1500000 1100
1600000 2800
1700000 1000
1800000 5300
1900000 4300

FindMax
length  times(ns)
0 1100
100000 400
200000 700
300000 200
400000 400
500000 100
600000 1000
700000 1600
800000 200
900000 400
1000000 200
1100000 400
1200000 400
1300000 2800
1400000 500
1500000 400
1600000 200
1700000 300
1800000 3700
1900000 900
